id,ingredient,name
531,塩コショウ,☆塩、こしょう
532,塩コショウ,☆塩・こしょう
533,塩コショウ,B.塩コショウ
534,塩コショウ,塩 コショウ
535,塩コショウ,塩＆胡椒
536,塩コショウ,塩、コショウ
537,塩コショウ,塩、こしょう
538,塩コショウ,塩、胡椒
539,塩コショウ,塩・コショウ
540,塩コショウ,塩・こしょう
541,塩コショウ,塩・胡椒
542,塩コショウ,塩コショウ
543,塩コショウ,塩こしょう
544,塩コショウ,塩胡椒
545,塩昆布,塩昆布
546,乾燥わかめ,★乾燥ワカメ
547,乾燥わかめ,乾燥わかめ
548,干し貝柱スープの素,干し貝柱スープの素(海鮮スープの素)
549,牛こま切れ,牛こま切れ
550,牛こま切れ,牛小間肉
551,牛こま切れ,牛肉（小間切れ）
552,牛ひき肉,牛ひき肉
553,牛肉,牛肉
554,牛乳,◎牛乳
555,牛乳,①牛乳
556,牛乳,牛乳
557,牛薄切り,(出来れば国産和牛)牛肉薄切り
558,牛薄切り,牛肉スライス
559,牛薄切り,牛薄切り(切り落とし)肉
560,牛薄切り,牛薄切り肉
561,魚肉ソーセージ,魚肉ソーセージ
562,魚肉ソーセージ,魚肉ソーセージ（ハムやベーコンでも）
563,玉ねぎ,△玉ねぎ
564,玉ねぎ,★玉葱
565,玉ねぎ,たまねぎ
566,玉ねぎ,タマネギ
567,玉ねぎ,玉ねぎ
568,玉ねぎ,玉ねぎ(3mmスライス)
569,玉ねぎ,玉葱
570,玉ねぎ,新玉ねぎ
571,玉ねぎ,冷凍玉ねぎみじんぎり
572,鶏がらスープの素,◆　がらスープの素
573,鶏がらスープの素,◎鶏ガラスープの素
574,鶏がらスープの素,☆鶏ガラスープの素（中華スープの素）
575,鶏がらスープの素,★鶏がらスープの素
576,鶏がらスープの素,★鶏がらスープの素(顆粒)
577,鶏がらスープの素,〇鶏がらスープの素※中華だし、コンソメ可
578,鶏がらスープの素,鶏ガラスープ（顆粒）
579,鶏がらスープの素,鶏がらスープの素
580,鶏がらスープの素,鶏ガラスープの素
581,鶏がらスープの素,顆粒鶏ガラスープの素
582,鶏ささみ,鶏ささみ
583,鶏もも肉,（お好みで　鶏肉＜一口大に切る＞）
584,鶏もも肉,とりモモ肉
585,鶏もも肉,鶏もも肉
586,結びしらたき,むすびしらたき
587,結びしらたき,結びしらたき
588,昆布,●昆布
589,昆布,昆布
590,昆布茶,☆昆布茶(粉末)
591,昆布茶,昆布茶
592,菜の花,△菜の花
593,桜えび,★乾燥小エビ
594,桜えび,干し桜エビ
595,桜えび,桜えび
596,桜えび,桜エビ
597,桜えび,桜海老
598,糸こんにゃく,糸こんにゃく
599,糸こんにゃく,糸こんにゃく(なくても)
600,糸こんにゃく,糸こんにゃく又はしらたき
601,七味唐辛子,★七味唐辛子
602,七味唐辛子,お好みで　七味 or 一味
603,七味唐辛子,七味唐辛子
604,七味唐辛子,七味唐辛子（お好みで）
605,酒,＊酒
606,酒,【Ａ】酒
607,酒,◆　酒
608,酒,●お酒
609,酒,◎タカラ料理酒
610,酒,◎酒
611,酒,●酒
612,酒,○酒（豚肉用）
613,酒,●酒（日本酒・泡盛等料理酒以外）
614,酒,☆酒
615,酒,☆白ワイン（または酒）
616,酒,★酒
617,酒,〇酒
618,酒,A　料理酒
619,酒,A)酒
620,酒,A.酒
621,酒,B.酒
622,酒,酒
623,酒,料理酒
624,春巻きの皮,春巻きの皮
625,小ネギ,※こねぎ
626,小ネギ,※刻みネギ
627,小ネギ,ネギ（小口に切ったもの）
628,小ネギ,刻みねぎ
629,小ネギ,刻み九条ネギ
630,小ネギ,小ネギ
631,小ネギ,小ねぎ
632,小ネギ,小ネギ（小口切り）
633,小ネギ,小口ネギ
634,小ネギ,小口切りのネギ
635,小ネギ,小葱（みじん切り）
636,小ネギ,小葱の小口切り
637,小ネギ,青ネギ
638,小ネギ,青ネギ（小口切り）
639,小ネギ,青ネギ小口切り
640,小ネギ,万能ねぎ
641,小ネギ,万能ねぎ（みじん切り）
642,小ネギ,万能ねぎ（小口切り
643,小ネギ,万能ねぎ（小口切り）
644,小ネギ,薬味（青ネギ等）
645,小松菜,小松菜
646,小松菜,茹でた小松菜
647,小麦粉,【A】薄力粉
648,小麦粉,◎小麦粉
649,小麦粉,☆小麦粉
650,小麦粉,☆薄力粉
651,小麦粉,★小麦粉
652,小麦粉,★薄力粉
653,小麦粉,小麦粉
654,小麦粉,薄力粉
655,焼きそばソース,オタフク焼きそばソース
656,焼きそばソース,焼きそばソース（または　ウスターソース）
657,焼きそば麺,②焼きそば麺
658,焼きそば麺,チルド焼きそば麺
659,焼きそば麺,やきそば
660,焼きそば麺,やきそば麺
661,焼きそば麺,焼きそばの麺
662,焼きそば麺,焼きそばの麺(市販品)
663,焼きそば麺,焼きそば麺
664,焼きそば麺,焼きそば麺(ラーメンでも美味しい)
665,焼きそば麺,焼きそば麺（中華麺）
666,焼きそば麺,焼きそば用の麺
667,焼きそば麺,焼きそば用ゆで麺
668,焼きそば麺,焼きソバ用生麺
669,焼きそば麺,焼きそば用太麺(130g×2人前)
670,焼きそば麺,中華めん（焼きそば用）
671,焼きそば麺,中華蒸し麺（焼きそば用）
672,焼きそば麺,中華麺(焼きそば麺)
673,焼きそば麺,中華麺（焼きそば用）
674,焼肉のたれ,○焼き肉のたれ
675,食パン,食パン
676,酢,○酢
677,水,??水
678,水,【Ａ】水
679,水,【A】水
680,水,◯水
681,水,◆　水
682,水,○水
683,水,◎水
684,水,●水
685,水,・水
686,水,☆水
687,水,★水
688,水,★水(だし汁用)
689,水,〇水
690,水,②水
691,水,A.水
692,水,Ａ．水
693,水,B水
694,水,お水
695,水,水
696,水,水　※ステンレスやアルミの鍋のみ
697,水,水（200cc）
698,水,水（白玉用）
699,水,水☆
700,水,水またはお湯
701,水,熱湯
702,水,片栗粉用水
703,青ネギ,青ねぎ
704,青ネギ,青ねぎ(刻み)
705,青ネギ,長ねぎ
706,青のり,■あおさ粉
707,青のり,○青のり
708,青のり,☆青のり
709,青のり,★青のり
710,青のり,青のり
711,青のり,青海苔
712,青のり,青海苔（あれば）
713,大根,お好みの野菜（大根）
714,大根,大根
715,大根,大根（おろしポン酢用、お好みで）
716,大根,大根（正味）
717,大葉,大葉
718,中華スープの素,中華スープの素
719,中華麺,中華麺
720,中華麺,中華麺（蒸し）
721,中華麺,茹で中華麺
722,中濃ソース,中濃ソース（お好みソースでも）
723,長ネギ,●長ネギ（斜め切り）
724,長ネギ,●長ネギの青い部分（あれば）
725,長ネギ,☆白ネギ・白菜
726,長ネギ,★　長ネギ
727,長ネギ,長ネギ
728,長ネギ,長ネギ(斜め薄切り)
729,長ネギ,長ネギ（薬味用）
730,長ネギ,長葱
731,長ネギ,白ネギ
732,天かす,★天かす
733,天かす,あれば　天かす
734,天かす,てんかす
735,天かす,天かす
736,天かす,揚げ玉
737,唐辛子,（飾り）糸唐辛子
738,唐辛子,□細切り唐辛子（あれば、仕上げで）
739,唐辛子,●輪切り唐辛子(お好みで)
740,唐辛子,☆赤唐辛子(輪切り)
741,唐辛子,〇唐辛子
742,豆乳,??無調整豆乳
743,豆乳,●豆乳（無調整）
744,豆乳,★豆乳
745,豆乳,豆乳
746,豆乳,豆乳or牛乳
747,豚こま切れ,☆豚こま肉
748,豚こま切れ,★豚こま
749,豚こま切れ,もち豚こま肉（他の豚肉でも）
750,豚こま切れ,豚こま
751,豚こま切れ,豚コマ
752,豚こま切れ,豚こまor牛こま
753,豚こま切れ,豚こま切れ肉
754,豚こま切れ,豚こま肉
755,豚こま切れ,豚コマ肉
756,豚こま切れ,豚細切れ
757,豚こま切れ,豚小間肉
758,豚こま切れ,豚肉(こま)
759,豚こま切れ,豚肉（豚こまor豚バラ）
760,豚こま切れ,豚肉（豚こま等）
761,豚こま切れ,豚肉こま切れ
762,豚こま切れ,豚肉スライス
763,豚こま切れ,豚薄切り肉
764,豚の切り落とし,豚の切り落とし
765,豚の切り落とし,豚切り落とし肉
766,豚バラ,●豚バラ
767,豚バラ,★　豚ばら肉の薄切り
768,豚バラ,しゃぶしゃぶ用豚バラ肉
769,豚バラ,豚ばら
770,豚バラ,豚バラブロック
771,豚バラ,豚バラ肉
772,豚バラ,豚ばら肉
773,豚バラ,豚バラ肉（バラ肉でなくても可）
774,豚バラ,豚ばら肉（又は牛こま肉）
775,豚バラ,豚バラ肉うす切り（またはしゃぶしゃぶ用）
776,豚バラ,豚バラ肉ブロック
777,豚バラ,豚バラ肉薄切り
778,豚バラ,豚バラ薄切り肉
779,豚バラ,豚バラ薄切り肉（4cmに切る）
780,豚バラ,肉（豚バラなど）
781,豚ひき肉,※豚ひき肉
782,豚ひき肉,ひき肉
783,豚ひき肉,豚ひき肉
784,豚ひき肉,豚挽き肉
785,豚ひき肉,豚挽肉
786,豚ひき肉,挽肉（牛でも豚でもお好みで）
787,豚ロース,豚ロース切り落とし
788,豚ロース,豚ロース薄切り
789,豚肉,しゃぶしゃぶ用豚肉
790,豚肉,猪肉(または豚肉・鹿肉)
791,豚肉,豚肉
792,豚肉,豚肉 （ﾊﾞﾗ・細切れ）
793,豚肉,豚肉（または冷凍シーフードミックス）
794,豚肉,豚肉（細切れ）
795,豚肉,豚肉(薄切り)
796,豚肉,豚肉薄切り
797,豚背ロース薄切り,豚背ロース薄切り
798,日本酒,・日本酒
799,日本酒,★日本酒
800,日本酒,日本酒
801,濃厚ソース,濃厚ソース
802,白ごま,白ごま
803,白ごま,白ゴマ
804,白だし,【A】白だし
805,白だし,★キッコーマン本つゆ香り白だし
806,白だし,★白だし
807,白だし,★白だし(だし汁用)
808,白だし,白だし
809,白みそ,●白みそ
810,白みそ,白みそ
811,白みそ,白味噌
812,白菜,お好みの野菜（白菜）
813,白菜,白菜
814,白菜,白菜（ちんげん菜/小松菜など）
815,白菜,白菜（または青菜類）
816,白菜,白菜(柔らかいところ)
817,白菜,白菜（大）
818,白菜,白菜（鍋の残り野菜もOK）
819,白菜,白菜ざく切り
